Department,Section,Name,Logo,Url
Sales,Show Time,Liz Explorer,studio.png,https://liz-explorer.seedt.ag/
Sales,Show Time,Liz OS,studio.png,https://lizos.seedtag.com/custom-ai
Sales,Materials,Sales Deck EN,ppt.svg,https://docs.google.com/presentation/d/1DOuSXLPY1dS3sMTzM14GVGyW8X-LS4X43mG-TEdHxMM/edit#slide=id.g115057d90a1_0_0
Sales,Materials,Sales Deck ES,ppt.svg,https://docs.google.com/presentation/d/1ot0bay0upsY4sm5YYFBHtTlDzTSGEOcOIASVD_Q3c-I/edit#slide=id.g115057d90a1_0_0
Sales,Materials,One Pager,ppt.svg,https://docs.google.com/presentation/d/1EGDIYPuB-GEH2g8NrZYm9SWwHS-386vcTohm2KFSi14/edit#slide=id.g11aa4405997_0_963
Sales,Materials,CND Activation,sheets.svg,https://docs.google.com/spreadsheets/d/1JQsAmPaA8Nj3rvY2UsVQeYfcF5pLi9mDI_3M5kvLXwA/edit#gid=0
Sales,Materials,Success Cases,ppt.svg,https://docs.google.com/presentation/d/1MvxgzmkGy_VgG2ElY4b463m97gwp6ZQzshSJEQvvqdo/edit#slide=id.gffada022f3_0_1568
Sales,Materials,RTT - Sports Events,ppt.svg,https://docs.google.com/presentation/d/1IHNgY--dU10O_qGvI3ybDj-Lf_e37-CICNHVTEUb68E/edit#slide=id.g11aa4405997_0_783
Sales,Materials,Sales Enablement Platform,studio.png,https://sites.google.com/seedtag.com/contentplatform/homepage?pli=1
Sales,Materials,Ratecard 2023,sheets.svg,https://docs.google.com/spreadsheets/d/1noiH8wcAT7vkHg8iZlPma0_jT3GmucbAMG-z3Oq46ko/edit#gid=1789540678
Sales,Design,Design Seedtag,studio.png,https://design.seedtag.com/
Sales,Design,Creative Factory,ppt.svg,https://docs.google.com/presentation/d/1gMmbG6UYqXLMpg5Ugg9T6mnAY01I4WNe0F885LfZ0BQ/edit#slide=id.g12617dd1b2a_0_155
Sales,Design,Seedtag Specs Overview,sheets.svg,https://docs.google.com/spreadsheets/d/1q-Dq5xBbuDuYzp5MF0PZZGfSC9UTpnqLsgOqwp582Qo/edit#gid=0
Sales,Reporting,OMP & PERFORMANCE ACTIVATION,dataStudio.svg,https://datastudio.google.com/reporting/b1d242d9-4b68-4559-91ee-11eed583645d/page/p_p86y03a1rc
Sales,Reporting,Campaign Summary,sheets.svg,https://docs.google.com/spreadsheets/d/1pU7HeKoKV8mOLoyztL2wQJT7PJ0mOTQ8wtH8sSfBxX4/edit#gid=0
Sales,Reporting,Sales FollowUp,sheets.svg,https://docs.google.com/spreadsheets/d/1ezZb_y01XnCne7bYNiBRcYOS_Poz2Et7ehLHF1lKzy8/edit#gid=203648699
Sales,Reporting,Global Vision,sheets.svg,https://docs.google.com/spreadsheets/d/1kR5pHWuJBsE4rf6fIuY88tKYt9CRIpj6-qWfQqh9F3w/edit#gid=143980599
Sales,Reporting,Performance Meetings,sheets.svg,https://docs.google.com/spreadsheets/d/1T7llyoLV9o9sgv2JEUqE4OHXufVSd1ZipYfX6CorbEI/edit#gid=2009623632
Sales,Reporting,Performance Weekly Sync,ppt.svg,https://docs.google.com/presentation/d/1-J9PccB_alGlMFArTXlK4_9Vxbv6kGv6E9RlhqhRZAM/edit#slide=id.g13905ba9573_0_1091
Sales,Tech Materials,Main Client Information,sheets.svg,https://docs.google.com/spreadsheets/d/15AZpyPWcUNKFkFi8SkW1JU8vto8VmlLZwbKaFk_1Fvo/edit#gid=0
Sales,Tech Materials,Seedtag Conversion Pixel,ppt.svg,https://docs.google.com/presentation/d/1gvYmnN3wJWE2mwi19899AAx8ZJeeoSgbP_UcFCpL1YU/edit#slide=id.g181892c5f8e_0_0
Sales,Tech Materials,GTM IMG Pixel,ppt.svg,https://docs.google.com/presentation/d/1z1lJG0J3y5zHO-S9Inf68VJ49JnyR0SsNVKRM2uzVqQ/edit#slide=id.g141c624c90e_0_153
Sales,Tech Materials,GTM JS Pixel,ppt.svg,https://docs.google.com/presentation/d/1T_uzhILPdkCWzAiq1UMXheW4Eg8UCkDfpOD9jKA9klU/edit#slide=id.g18b26eabccb_0_103
Sales,Tech Materials,Why To Use JS Pixels (internal),ppt.svg,https://docs.google.com/presentation/d/1KgwABxXoVZQbPQh-ZHaVIpvbgcjH5_moS8yjRL5QeR8/edit#slide=id.g181892c5f8e_0_0
Sales,Tech Materials,Why To Use JS Pixels (for clients),ppt.svg,https://docs.google.com/presentation/d/1O1E6mqoOvTabmyILUt8T8_R7CRFahiQbTl6J4TxeP4o/edit#slide=id.g181892c5f8e_0_0
Sales,Tech Materials,GA4/LS Guide,ppt.svg,https://docs.google.com/presentation/d/1dnr0qU_3Pm3VKwzk7M8ik4SjqKlEgtxP61BObs4zoNc/edit#slide=id.g141c624c90e_0_153
Sales,Tech Materials,GAU/LS Guide,ppt.svg,https://docs.google.com/presentation/d/1330k6KyJ_ua8qx-6kbCqznaQTFTOApaShxFT9MkLyQg/edit#slide=id.g141c624c90e_0_153
Sales,Tech Materials,Looker Studio Report Template (GAU),dataStudio.svg,https://lookerstudio.google.com/u/0/reporting/43dc7bb2-87f3-4039-8774-de18ff3d46a7/page/G4vUD
Sales,Tech Materials,Looker Studio Report Template (GA4),dataStudio.svg,https://lookerstudio.google.com/u/0/reporting/620a4721-69b8-4dc2-a5aa-a86d6abb0143/page/G4vUD
Sales,Tech Materials,GOOGLE/KMTX PRIVACY INFO,doc.png,https://docs.google.com/document/d/18PhQaXk5UUgBisZU5gtiGFntPaYk39MkMZAdaCHGRNY/edit
Sales,Tech Materials,GA Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1p95GsIMfKeN7UOcgDgEGvXr-wvTX_Vyjhm7IsQ91WmE/edit#slide=id.g141c624c90e_0_153
Sales,Tech Materials,AdServer Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1Det0eD-EoW08CLvU5V2LumbidMOSj_HvqXkoaB2TeJU/edit#slide=id.g141c624c90e_0_153
Sales,Tech Materials,Adobe Analytics Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1hzIP1fpuGtjR37OmUy6zLS_nCXD9Thxs3X7telZwZpU/edit#slide=id.g141c624c90e_0_153
Sales,ES/Trainings,Contextual Native,ppt.svg,https://docs.google.com/presentation/d/1MRw_7gxwO92XUYMD-YFpJDQs56zke6yGyCs3kzvgxvc/edit#slide=id.gdc7fa582fa_0_795
Sales,ES/Trainings,OnePager,ppt.svg,https://docs.google.com/presentation/d/1rA8QMhF82RXjLt1EA9Xj9koSb8SBvDsCduCmc3ZJ5Io/edit#slide=id.ge7ffeaf2f8_0_0
Sales,ES/Trainings,Mid Funnel KPI's,ppt.svg,https://docs.google.com/presentation/d/1xoP8vKq8TBhYKzbKQwQwpVBe1TqoaWD6aWRStz0fpEQ/edit#slide=id.gdc9b2826ec_0_320
Sales,EN/Trainings,Contextual Native,ppt.svg,https://docs.google.com/presentation/d/1MRw_7gxwO92XUYMD-YFpJDQs56zke6yGyCs3kzvgxvc/edit#slide=id.gdc7fa582fa_0_795
Sales,EN/Trainings,OnePager-Internal,ppt.svg,https://docs.google.com/presentation/d/1rA8QMhF82RXjLt1EA9Xj9koSb8SBvDsCduCmc3ZJ5Io/edit#slide=id.ge7ffeaf2f8_0_0
Sales,EN/Trainings,Mid Funnel KPI's,ppt.svg,https://docs.google.com/presentation/d/126fqZulizinzItqO-gDP56wdIDjXpvtDL0a0ATMa6CY/edit#slide=id.gdc9b2826ec_0_320
Sales,EN/Trainings,Sales CN (NOT SHARE),ppt.svg,https://docs.google.com/presentation/d/1m1BublR-nKMRiFrJlM2ekGeaq84aB12_U-kGyG-6HQc/edit#slide=id.g10731ff776a_0_0
AdOps,Platforms,Xandr Invest,xandr.png,https://invest.xandr.com/login
AdOps,Platforms,Jira,jira.png,https://seedtag.atlassian.net/jira/software/projects/PA/boards/68
AdOps,Platforms,StudioPro,studio.png,https://studio.seedtag.com/
AdOps,Platforms,Backoffice,backoffice.svg,https://backoffice.seedtag.com/adtag/list
AdOps,ES/Materials,Client OnePager,ppt.svg,https://docs.google.com/presentation/d/1a14FeoIrpUujb23l-ddhn6CqTGq6IcjXSbFD0ZnEcs0/edit#slide=id.gdd9eaeedcf_0_0
AdOps,ES/Materials,Comprobantes CN,ppt.svg,https://docs.google.com/presentation/d/1jSaLk4LYDS1xc0cpu1vW5nV-icPhRUwXKpaU55VBQZc/edit#slide=id.ge9f98718a8_0_321
AdOps,ES/Materials,Client Previews,ppt.svg,https://docs.google.com/presentation/d/1SF6my47jtkWMKAB06uwP1Dr6z5nPGOtDNQ8KwkzDLfQ/edit#slide=id.gdba7e6ef2d_0_0
AdOps,ES/Materials,Plantilla Cliente,ppt.svg,https://docs.google.com/spreadsheets/d/1ZNlLVVO1LZ1NRQK68sjeYUf1CFbuRSL7ArlzKfoMsbE/edit#gid=0
AdOps,ES/Materials,ES GTM IMG Pixel,ppt.svg,https://docs.google.com/presentation/d/1ygO25ZpMywbNu6JW-3g-FyZEHBMdSwpVJxZy1xFXjsI/edit?usp=sharing
AdOps,ES/Materials,ES GTM JS Pixel,ppt.svg,https://docs.google.com/presentation/d/13WXubRH9f_Yki5ckEXSQp4fUImLVIYmRiKnDEcVEsaI/edit?usp=sharing
AdOps,EN/Materials,Weekly Report,ppt.svg,https://docs.google.com/spreadsheets/d/1CDULYDO4KrZxHJmWrCfE6N5NrqLlh0iyxG2uKLmH6qM/edit#gid=703024079
AdOps,EN/Materials,Seedatg Report Template,dataStudio.svg,https://datastudio.google.com/reporting/7833a605-4910-4b10-b17d-d18f0e2f504a
AdOps,EN/Materials,Looker Studio Report Template (GAU),dataStudio.svg,https://lookerstudio.google.com/u/0/reporting/43dc7bb2-87f3-4039-8774-de18ff3d46a7/page/G4vUD
AdOps,EN/Materials,Looker Studio Report Template (GA4),dataStudio.svg,https://lookerstudio.google.com/u/0/reporting/620a4721-69b8-4dc2-a5aa-a86d6abb0143/page/G4vUD
AdOps,EN/Materials,Seedtag Conversion Pixel,ppt.svg,https://docs.google.com/presentation/d/1gvYmnN3wJWE2mwi19899AAx8ZJeeoSgbP_UcFCpL1YU/edit#slide=id.g181892c5f8e_0_0
AdOps,EN/Materials,GOOGLE/KMTX PRIVACY INFO,doc.svg,https://docs.google.com/document/d/18PhQaXk5UUgBisZU5gtiGFntPaYk39MkMZAdaCHGRNY/edit
AdOps,EN/Materials,Why To Use JS Pixels (internal),ppt.svg,https://docs.google.com/presentation/d/1KgwABxXoVZQbPQh-ZHaVIpvbgcjH5_moS8yjRL5QeR8/edit#slide=id.g181892c5f8e_0_0
AdOps,EN/Materials,Why To Use JS Pixels (for clients),ppt.svg,https://docs.google.com/presentation/d/1O1E6mqoOvTabmyILUt8T8_R7CRFahiQbTl6J4TxeP4o/edit#slide=id.g181892c5f8e_0_0
AdOps,EN/Materials,GA Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1p95GsIMfKeN7UOcgDgEGvXr-wvTX_Vyjhm7IsQ91WmE/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,AdServer Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1Det0eD-EoW08CLvU5V2LumbidMOSj_HvqXkoaB2TeJU/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,Adobe Analytics Reporting Guide,ppt.svg,https://docs.google.com/presentation/d/1hzIP1fpuGtjR37OmUy6zLS_nCXD9Thxs3X7telZwZpU/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,GTM IMG Pixel,ppt.svg,https://docs.google.com/presentation/d/1z1lJG0J3y5zHO-S9Inf68VJ49JnyR0SsNVKRM2uzVqQ/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,GTM JS Pixel,ppt.svg,https://docs.google.com/presentation/d/1T_uzhILPdkCWzAiq1UMXheW4Eg8UCkDfpOD9jKA9klU/edit#slide=id.g18b26eabccb_0_103
AdOps,EN/Materials,GA4/LS Guide,ppt.svg,https://docs.google.com/presentation/d/1dnr0qU_3Pm3VKwzk7M8ik4SjqKlEgtxP61BObs4zoNc/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,GAU/LS Guide,ppt.svg,https://docs.google.com/presentation/d/1330k6KyJ_ua8qx-6kbCqznaQTFTOApaShxFT9MkLyQg/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,GTM Template Pixel Guide OR,ppt.svg,https://docs.google.com/presentation/d/1n-nkDpX_xz8rAlKcMdaunQxspNtMO99VN0UHuw1QgcY/edit#slide=id.g2b5705181a7_0_66
AdOps,EN/Materials,GTM Template Pixel Guide DV,ppt.svg,https://docs.google.com/presentation/d/1Rr_432nhEWlEBgZ8sGSz5MLcdRkpRex9VSCDucX0bCA/edit#slide=id.g141c624c90e_0_153
AdOps,EN/Materials,GTM Template Pixel Guide Global Site Tag DV,ppt.svg,https://docs.google.com/document/d/1p25vJ5F7Zn0lFaYFPfi0-wEhw3tjjD9r0EJ8KuoBOco
AdOps,ES/Trainings,Contextual Native,ppt.svg,https://docs.google.com/presentation/d/1MRw_7gxwO92XUYMD-YFpJDQs56zke6yGyCs3kzvgxvc/edit#slide=id.gdc7fa582fa_0_795
AdOps,ES/Trainings,OnePager,ppt.svg,https://docs.google.com/presentation/d/1rA8QMhF82RXjLt1EA9Xj9koSb8SBvDsCduCmc3ZJ5Io/edit#slide=id.ge7ffeaf2f8_0_0
AdOps,ES/Trainings,Mid Funnel KPI's,ppt.svg,https://docs.google.com/presentation/d/1xoP8vKq8TBhYKzbKQwQwpVBe1TqoaWD6aWRStz0fpEQ/edit#slide=id.gdc9b2826ec_0_320
AdOps,ES/Trainings,Guia & Tips,ppt.svg,https://docs.google.com/presentation/d/1AGhRVRNWZtTY0RgQ1Ig5AfPsc5Q2h5g_Ir9-14qHMhQ/edit#slide=id.gd2596aae4b_0_1017
AdOps,EN/Trainings,External Videos,ppt.svg,https://docs.google.com/presentation/d/1PHcPDUuAzw4s_Q9KlIDQ2_PgAwMHDyn_MMoPK38Uz3I/edit#slide=id.g162abab0e3c_0_10
AdOps,EN/Trainings,Guidelines & Tips,ppt.svg,https://docs.google.com/presentation/d/1k25vW7tCuOMpeVFksSHpQXb2dVGg5Ctfx8CLRbU7-ZE/edit?usp=sharing
AdOps,EN/Trainings,Contextual Native,ppt.svg,https://docs.google.com/presentation/d/1MRw_7gxwO92XUYMD-YFpJDQs56zke6yGyCs3kzvgxvc/edit#slide=id.gdc7fa582fa_0_795
AdOps,EN/Trainings,OnePager-Internal,ppt.svg,https://docs.google.com/presentation/d/1rA8QMhF82RXjLt1EA9Xj9koSb8SBvDsCduCmc3ZJ5Io/edit#slide=id.ge7ffeaf2f8_0_0
AdOps,EN/Trainings,Mid Funnel KPI's,ppt.svg,https://docs.google.com/presentation/d/126fqZulizinzItqO-gDP56wdIDjXpvtDL0a0ATMa6CY/edit#slide=id.gdc9b2826ec_0_320
AdOps,EN/Trainings,Sales CN (NOT SHARE),ppt.svg,https://docs.google.com/presentation/d/1m1BublR-nKMRiFrJlM2ekGeaq84aB12_U-kGyG-6HQc/edit#slide=id.g10731ff776a_0_0
AdOps,Reporting,OMP & PERF ACTIVATION,dataStudio.svg,https://datastudio.google.com/reporting/b1d242d9-4b68-4559-91ee-11eed583645d/page/p_p86y03a1rc
AdOps,Reporting,Performance,dataStudio.svg,https://datastudio.google.com/reporting/217e454b-b124-4d39-b8a1-b33f5a4419da/page/vyqVC
AdOps,Reporting,OMP,dataStudio.svg,https://datastudio.google.com/reporting/577ea877-e2d3-479b-914e-e17d5e573f84/page/vyqVC
AdOps,EN/Materials,Web Dev Tool Pixel Implementation (head),ppt.svg,https://docs.google.com/presentation/d/1H0SV5fR3XKRNUncGjC3vn0YVPmloe15FJ7H3M1OOai8/edit#slide=id.g253d76b9d7e_0_80
AdOps,EN/Materials,Web Dev Tool Pixel Implementation (body),ppt.svg,https://docs.google.com/presentation/d/1WJshdXJsdzcxlhbKBqh136E79viggbyTqgvgk80jSvY/edit#slide=id.g253d76b9d7e_0_9
Performance Ops,Platforms,DV360,dv360.png,https://displayvideo.google.com/ng_nav/p/6135531/a/515858297/cs
Performance Ops,Platforms,Xandr Invest,xandr.png,https://invest.xandr.com/login
Performance Ops,Platforms,Jira,jira.png,https://seedtag.atlassian.net/jira/software/projects/PA/boards/68
Performance Ops,Platforms,StudioPro,studio.png,https://studio.seedtag.com/
Performance Ops,Platforms,Notion,notion.png,https://www.notion.so/seedtag/Performance-Ops-933b5e0a5ea64cf39de3c7205229ef7b
Performance Ops,SetUp,Copilot for DV360,dv360.png,/copilotfordv360
Performance Ops,SetUp,Bulk Upload,bulkUpload.png,/creatives_upload
Performance Ops,SetUp,Copilot Country Defaults,sheets.svg,https://performance-gql.api.seedtag.com/dv360-copilot-api/v1/country_defaults.csv
Performance Ops,SetUp,Semrush,semrush.png,https://www.semrush.com/projects/
Performance Ops,SetUp,Keywords 1,sheets.svg,https://docs.google.com/spreadsheets/d/1kqlE_DZYTad8fqnlA1MOkG-xFEOOaNXh99Qy2HYtrjk/edit#gid=0
Performance Ops,SetUp,Keywords 2,sheets.svg,https://docs.google.com/spreadsheets/d/1JsiJAVXfRZozdFs1ucqQpSN3tfkt3CerwG53N1HeEN8/edit#gid=2129330107
Performance Ops,SetUp,LigaSantander DAZN KW,sheets.svg,https://docs.google.com/spreadsheets/d/1tx8WgPdtBEJCMZZT3EL6HTqc4tKX_HwvtOk5GsW8JOo/edit#gid=0
Performance Ops,SetUp,KW Concatenator,found.png,https://www.found.co.uk/ppc-keyword-tool/
Performance Ops,SetUp,Nomenclature Generator,appScript.png,https://script.google.com/a/macros/seedtag.com/s/AKfycbxE_PfiT1y3DfdzZDgmpQ790Qb3Uxr1GSxKcH7IALz3T9zq_5zNbr2xhaQneH2L68Tl5Q/exec
Performance Ops,SetUp,Taxonomies,sheets.svg,https://docs.google.com/spreadsheets/d/18oUkkXOPbyl6-RlAZ9B1xl1ymX174uVASQ4oQkaiWok/edit#gid=1003983877
Performance Ops,SetUp,Bulk Campaign Gonfigurator,sheets.svg,https://docs.google.com/spreadsheets/d/11_BXFCXW9xJvDorvr3XlDumJ1HewcYVnWEqeFIQGpHA/edit#gid=2086694238
Performance Ops,SetUp,Market Sitelist and Kwds,sheets.svg,https://drive.google.com/drive/folders/1flSy3DyqcW-EZqRiLNYVdVsRFJEl5_4S
Performance Ops,Materials,Microsites,sheets.svg,https://docs.google.com/spreadsheets/d/1wuq5ezJK2VAsbuKp_enIrcyLPJLjtmIS99995ENpKlQ/edit#gid=0
Performance Ops,Materials,Campaign Summary,sheets.svg,https://docs.google.com/spreadsheets/d/1pU7HeKoKV8mOLoyztL2wQJT7PJ0mOTQ8wtH8sSfBxX4/edit#gid=0
Performance Ops,Materials,Seedtag Conversion Pixel,ppt.svg,https://docs.google.com/presentation/d/1gvYmnN3wJWE2mwi19899AAx8ZJeeoSgbP_UcFCpL1YU/edit#slide=id.g181892c5f8e_0_0
Performance Ops,Materials,GTM JS Pixel,ppt.svg,https://docs.google.com/presentation/d/1T_uzhILPdkCWzAiq1UMXheW4Eg8UCkDfpOD9jKA9klU/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,GTM IMG Pixel,ppt.svg,https://docs.google.com/presentation/d/1z1lJG0J3y5zHO-S9Inf68VJ49JnyR0SsNVKRM2uzVqQ/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,AdServer Report Configuration Guide,ppt.svg,https://docs.google.com/presentation/d/1Det0eD-EoW08CLvU5V2LumbidMOSj_HvqXkoaB2TeJU/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,Analytics Report Configuration Guide,ppt.svg,https://docs.google.com/presentation/d/1p95GsIMfKeN7UOcgDgEGvXr-wvTX_Vyjhm7IsQ91WmE/edit#slide=id.g141c624c90e_0_153
Performance Ops,Materials,Mid-funnel KPIs EN,ppt.svg,https://docs.google.com/presentation/d/126fqZulizinzItqO-gDP56wdIDjXpvtDL0a0ATMa6CY/edit#slide=id.gdc9b2826ec_0_320
Performance Ops,Materials,Mid-funnel KPIs ES,ppt.svg,https://docs.google.com/presentation/d/1xoP8vKq8TBhYKzbKQwQwpVBe1TqoaWD6aWRStz0fpEQ/edit#slide=id.gdc9b2826ec_0_320
Performance Ops,Materials,GTM Template Pixel Guide,ppt.svg,https://docs.google.com/presentation/d/10K5rF_Lt3aRWUk098M48eAp3yEVWN19k0fAgYJUBp6Q/edit#slide=id.g2b5705181a7_0_66
Performance Ops,Optimization,Follow-up OMP,sheets.svg,https://docs.google.com/spreadsheets/d/1Y37qbeRpste-vligawkDUMdt4UFlA1DUC80T_3-xnQ8/edit#gid=0
Performance Ops,Optimization,Follow-up Performance,sheets.svg,https://docs.google.com/spreadsheets/d/1x53pqK9S7ouGX2oLA-0oHFZyQa4l2t8f28enZipIKEY/edit#gid=0
Performance Ops,Seguimiento,Performance Follow Up Documents,appScript.png,https://script.google.com/a/macros/seedtag.com/s/AKfycbzK33T56zTMzSOdhGcbrNkf4ZtKyzAM3fyhR514AcU7DmpjXWsZPxF4FE3jh6NItZsE/exec
Performance Ops,Seguimiento,Follow-up Template,sheets.svg,https://docs.google.com/spreadsheets/d/12YdvQuleqcLCNxvjTuLDg3lzb22MtHF_zsVGrHRZARo/edit#gid=1825025994
Performance Ops,Seguimiento,Follow-up Template + Extra Dimension,sheets.svg,https://docs.google.com/spreadsheets/d/1CbE-sOOb9a2HvZN1pGlmNbDkI41RDOyeP1Af0nBu_AI/edit#gid=437126443
Performance Ops,Reporting,Graph Generator,sheets.svg,https://drive.google.com/drive/folders/1tm66F7lxIDkHdCu9R-aw7nNT66ARJz2Z
Performance Ops,Reporting,Gmail Label,sheets.svg,https://docs.google.com/spreadsheets/d/17yH20aa7YsLMS7aNuFMxJzSA3Lh29PmbfQIStF1I5QI/edit#gid=0
